timestamp_utc,campaign_status,memory_free_percent,swap_used_mb
2026-07-19T10:56:23.019730+00:00,running,20,2527.5
2026-07-19T10:57:23.093555+00:00,running,17,2520.81
2026-07-19T10:58:23.249407+00:00,running,18,2508.19
2026-07-19T10:59:23.344098+00:00,running,18,2469.88
2026-07-19T11:00:23.391422+00:00,running,20,2457.69
2026-07-19T11:01:23.548417+00:00,running,21,2478.69
2026-07-19T11:02:23.703563+00:00,running,18,2591.25
2026-07-19T11:03:23.899122+00:00,running,16,2481.38
2026-07-19T11:04:23.987293+00:00,running,20,2422.81
2026-07-19T11:05:24.079049+00:00,running,21,2587.5
2026-07-19T11:06:24.171254+00:00,running,20,2490.62
2026-07-19T11:07:24.237186+00:00,running,16,2524.25
2026-07-19T11:08:24.349640+00:00,running,16,2483.12
2026-07-19T11:09:24.554131+00:00,running,17,2400.31
2026-07-19T11:10:24.692916+00:00,running,17,2436.5
2026-07-19T11:11:24.897724+00:00,running,17,2417.12
2026-07-19T11:12:25.029975+00:00,running,17,2449.12
2026-07-19T11:13:25.219728+00:00,running,19,2436.44
2026-07-19T11:14:25.286091+00:00,running,17,2380.44
2026-07-19T11:15:25.412673+00:00,running,17,2396.0
2026-07-19T11:16:25.575394+00:00,running,17,2403.75
2026-07-19T11:17:25.778053+00:00,running,16,2408.5
2026-07-19T11:18:25.949339+00:00,running,18,2400.69
2026-07-19T11:19:25.986940+00:00,running,18,2404.69
2026-07-19T11:20:26.158001+00:00,running,18,2406.94
2026-07-19T11:21:26.332839+00:00,running,17,2415.38
2026-07-19T11:22:26.526320+00:00,running,17,2444.75
2026-07-19T11:23:26.729746+00:00,running,19,2386.75
2026-07-19T11:24:26.773557+00:00,running,18,2376.25
2026-07-19T11:25:26.985308+00:00,running,18,2389.38
2026-07-19T11:26:27.023650+00:00,running,18,2396.44
2026-07-19T11:27:27.200423+00:00,running,24,2430.5
2026-07-19T11:28:27.380480+00:00,running,18,2397.56
2026-07-19T11:29:27.575554+00:00,running,18,2434.75
2026-07-19T11:30:27.722183+00:00,running,18,2454.31
2026-07-19T11:31:27.929992+00:00,running,17,2431.25
2026-07-19T11:32:28.114736+00:00,running,19,2408.38
2026-07-19T11:33:28.230999+00:00,running,17,2406.69
2026-07-19T11:34:28.272980+00:00,running,18,2411.62
2026-07-19T11:35:28.451619+00:00,running,18,2496.12
2026-07-19T11:36:28.635018+00:00,running,18,2457.56
2026-07-19T11:37:28.743827+00:00,running,18,2384.56
2026-07-19T11:38:28.893890+00:00,running,17,2409.5
2026-07-19T11:39:29.097024+00:00,running,17,2394.75
2026-07-19T11:40:29.186464+00:00,running,16,2475.0
2026-07-19T11:41:29.369140+00:00,running,17,2442.62
2026-07-19T11:42:29.541215+00:00,running,16,2394.62
2026-07-19T11:43:29.608160+00:00,running,17,2531.19
2026-07-19T11:44:29.777512+00:00,running,17,2500.19
2026-07-19T11:45:29.967669+00:00,running,17,2458.62
2026-07-19T11:46:30.086110+00:00,running,24,2466.94
2026-07-19T11:47:30.151250+00:00,running,18,2441.31
2026-07-19T11:48:30.341130+00:00,running,17,2475.56
2026-07-19T11:49:30.505815+00:00,running,17,2475.44
